Particle Concentration,Relative Stiffness,Solvent ,Solvent Ca conc,Solvent Na conc,Vol of Particles After Settling (mL),Total Volume After Settling (Particles + Excess PBS) ,Applied Pressure (PSI),Filter Pore Size (um),Time (min),Cumulative Fluid Loss (mL),Cumulative Fluid Loss (%),Total Volume Remaining,Settled Vol Frac (Assumed),Solid Volume of Particles ,Est. Volume Fraction 
0.5,VERY SOFT,1X PBS,0.9,153,32.5,37.5,0,70,0,0,0,37.5,0.6,19.5,0.52
0.5,VERY SOFT,1X PBS,0.9,153,32.5,37.5,0,70,5,8.5,0.53125,29,0.6,19.5,0.672413793
0.5,VERY SOFT,1X PBS,0.9,153,32.5,37.5,0.5,70,10,11.5,0.71875,26,0.6,19.5,0.75
0.5,VERY SOFT,1X PBS,0.9,153,32.5,37.5,0.5,70,15,14,0.875,23.5,0.6,19.5,0.829787234
0.5,VERY SOFT,1X PBS,0.9,153,32.5,37.5,0.5,70,20,14.5,0.90625,23,0.6,19.5,0.847826087
0.5,VERY SOFT,1X PBS,0.9,153,32.5,37.5,0.5,70,25,15,0.9375,22.5,0.6,19.5,0.866666667
0.5,VERY SOFT,1X PBS,0.9,153,32.5,37.5,0.5,70,30,15.5,0.96875,22,0.6,19.5,0.886363636
0.5,VERY SOFT,1X PBS,0.9,153,32.5,37.5,0.5,70,35,16,1,21.5,0.6,19.5,0.906976744
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0,70,0,0,0,40,0.6,19.5,0.4875
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0,70,5,13.5,0.675337669,26.5,0.6,19.5,0.735849057
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,10,16,0.8004002,24,0.6,19.5,0.8125
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,15,18,0.900450225,22,0.6,19.5,0.886363636
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,20,19,0.950475238,21,0.6,19.5,0.928571429
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,25,19.33,0.966983492,20.67,0.6,19.5,0.943396226
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,30,19.66,0.983491746,20.34,0.6,19.5,0.958702065
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,35,19.99,1,20.01,0.6,19.5,0.974512744
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0,70,0,0,0,40,0.6,19.5,0.4875
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0,70,5,13,0.599078341,27,0.6,19.5,0.722222222
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,10,15.5,0.714285714,24.5,0.6,19.5,0.795918367
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,15,17,0.783410138,23,0.6,19.5,0.847826087
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,20,18.5,0.852534562,21.5,0.6,19.5,0.906976744
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,25,18.9,0.870967742,21.1,0.6,19.5,0.924170616
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,30,19.3,0.889400922,20.7,0.6,19.5,0.942028986
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,35,19.7,0.907834101,20.3,0.6,19.5,0.960591133
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,95,21.7,1,18.3,0.6,19.5,1.06557377
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0,70,0,0,0,40,0.6,19.5,0.4875
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0,70,5,10.5,0.608766234,29.5,0.6,19.5,0.661016949
