,Ext. Diam. (mm),Ext. Length (cm),Est. Vol. Fraction,Fluid Ca2+ (mM),Resuspension_encoded,Syringe Diam. (mm),Microgel Conc. (%),Microgel Size (mm),Speed (mm/sec),Complex_0,YS_breakdown_33,YStrain_breakdown_33,StabilityLabel
0,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,1
1,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,1
2,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,1
3,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,1
4,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1
5,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1
6,1.65,0.0,0.9,0.9,1,11.9,2.0,0.689,0.1,2384.3819575066204,362.9255,23.590899999999998,0
7,1.65,0.0,0.9,0.9,1,11.9,2.0,0.689,1.0,2384.3819575066204,362.9255,23.590899999999998,1
8,0.84,2.54,0.9,0.9,1,14.4,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,1
9,0.84,2.54,0.9,0.9,1,14.4,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,1
10,0.84,2.54,0.9,0.9,1,14.4,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1
11,0.84,2.54,0.9,0.9,1,14.4,2.0,0.689,1.0,2384.3819575066204,362.9255,23.590899999999998,0
12,1.54,2.54,0.9,0.9,1,14.4,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,1
13,1.54,2.54,0.9,0.9,1,14.4,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,1
14,1.54,2.54,0.9,0.9,1,14.4,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1
15,1.54,2.54,0.9,0.9,1,14.4,2.0,0.689,1.0,2384.3819575066204,362.9255,23.590899999999998,0
16,1.54,2.54,0.9,0.9,1,14.4,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,1
17,1.54,2.54,0.9,0.9,1,14.4,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,1
18,1.54,2.54,0.9,0.9,1,14.4,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1
19,1.54,2.54,0.9,0.9,1,14.4,2.0,0.689,1.0,2384.3819575066204,362.9255,23.590899999999998,0
20,1.65,0.0,0.9,0.9,1,14.4,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,1
21,1.65,0.0,0.9,0.9,1,14.4,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,1
22,1.65,0.0,0.9,0.9,1,14.4,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1
23,1.65,0.0,0.9,0.9,1,14.4,2.0,0.689,1.0,2384.3819575066204,362.9255,23.590899999999998,0
24,1.36,2.54,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,1
25,0.84,2.54,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,1
26,1.54,2.54,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,1
27,0.61,2.54,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,1
28,0.51,2.54,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,1
29,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,1
30,1.36,2.54,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,1
31,0.84,2.54,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,1
32,1.54,2.54,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,1
33,0.61,2.54,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,1
34,0.51,2.54,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,1
35,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,1
36,1.36,2.54,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1
37,0.84,2.54,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1
38,1.54,2.54,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1
39,0.61,2.54,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,0
40,0.51,2.54,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,0
41,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1
42,1.36,2.54,0.9,0.9,1,11.9,2.0,0.689,1.0,2384.3819575066204,362.9255,23.590899999999998,1
