,Displacement (mm),Ext. Diam. (mm),Ext. Length (cm),Est. Vol. Fraction,Fluid Ca2+ (mM),Resuspension_encoded,Syringe Diam. (mm),Microgel Conc. (%),Microgel Size (mm),Speed (mm/sec),Complex_0,YS_breakdown_33,YStrain_breakdown_33,Viscosity_0.1/s,Force (N)
0,0.0,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,0.0026
1,0.4125,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,1.2748
2,0.8323,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,1.3639
3,1.2523,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,1.4495
4,1.6722,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,1.5094
5,2.9323,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,1.683
6,4.1922,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,1.8643
7,5.4523,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,1.98
8,6.7123,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,2.0241
9,7.9722,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,2.057
10,9.2324,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,2.0698
11,10.4923,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,2.0645
12,11.7523,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,2.0197
13,13.0122,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,2.006
14,14.2723,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,1.9877
15,15.5324,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,1.9729
16,16.7923,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,13.21805,1.9221
