,Num. Days In Fluid,Fluid Ca2+ (mM),Fluid Na+ (mM),Precursor Conc. (wt. %),Crosslinker Conc. (mM),Detach. Pressure (PSI),Nozzle Diam. (mm),Nozzle Angle (deg),Dist. P to N (cm),Angle P to N (deg),Flow Rate (uL/min),Nozzle Coating,Surface Tension (mN/m),Microgel Diam. (um)
0,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,903.5161168
1,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,915.4350493
2,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,851.822824
3,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,796.1016737
4,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,864.0177829
5,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,916.5899998
6,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,928.5250029
7,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,939.0154994
8,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,963.2732055
9,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,976.0480456
10,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,915.2162612
11,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,918.6669188
12,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,872.0348256
13,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,883.6984432
14,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,886.5803379
15,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,811.5911322
16,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,920.6106084
17,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,822.395591
18,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,927.9781601
19,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,938.707456
20,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,890.5322283
21,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,897.7801947
22,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,949.737122
23,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,994.3270691
24,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,916.9679879
25,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,679.3050333
26,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,637.4622719
27,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,659.3134924
28,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,625.3065946
29,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,624.9044998
30,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,647.1519205
31,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,628.3192484
32,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,652.3872816
33,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,662.3789153
34,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,649.249162
35,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,674.8314264
36,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,627.5089414
37,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,604.5986018
38,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,643.0575956
39,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,657.171698
40,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,619.9974732
41,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,625.7281818
42,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,667.3513732
43,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,674.4632985
44,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,632.1803085
45,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,683.9238042
46,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,647.1741286
47,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,640.996567
48,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,662.757785
49,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,641.9752573
50,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,805.7116261
51,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,781.7495316
52,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,792.53078
53,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,765.0217717
54,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,743.0641895
55,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,682.3717742
56,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,827.8078667
57,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,783.6978076
58,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,783.894151
59,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,773.3639226
60,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,786.2620274
61,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,785.0341994
62,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,778.9633179
63,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,778.582214
64,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,833.4330246
65,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,817.0631406
66,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,783.6197184
67,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,766.2828591
68,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,768.6025844
69,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,766.3237359
70,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,784.7443344
71,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,797.0558705
72,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,824.0979638
73,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,780.9335228
74,0.0,10.0,0.0,2.0,10.0,6.0,0.15,45,30.0,0,200,0,72.01,779.9049743
75,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,232.3130916
76,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,244.3924653
77,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,223.4583814
78,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,281.6476474
79,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,260.8608205
80,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,265.0622318
81,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,288.1481836
82,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,256.4945182
83,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,271.9478329
84,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,283.8590552
85,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,249.3173141
86,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,323.4108121
87,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,274.4509082
88,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,287.0539786
89,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,288.9041439
90,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,264.6393857
91,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,295.1432213
92,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,265.1565011
93,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,227.1269516
94,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,278.8528083
95,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,249.7881827
96,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,253.6412705
97,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,233.389588
98,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,276.4231158
99,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,272.5875
100,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,304.9571752
101,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,248.5730809
102,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,268.8772002
103,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,282.4806723
104,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,246.553192
105,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,243.4661586
106,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,225.1933851
107,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,296.6513645
108,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,297.5526214
109,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,244.9657698
110,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,244.476
111,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,274.36224
112,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,231.2912997
113,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,288.9334192
