,Precursor Conc. (wt. %),Rel. Precursor Viscosity,Detach. Pressure (PSI),Crosslinker Conc. (mM),Dist. from Bath (mm),Surface Tension (mN/m),Formation Outcome
0,2.0,1,6,10,140,72.01,1
1,2.0,1,6,10,140,72.01,1
2,2.0,1,6,10,140,72.01,1
3,2.0,1,6,10,140,72.01,1
4,2.0,1,6,10,140,72.01,1
5,2.0,1,6,10,140,72.01,1
6,2.0,1,6,10,140,72.01,1
7,2.0,1,6,10,140,72.01,1
8,2.0,1,6,10,140,72.01,1
9,2.0,1,6,10,140,72.01,1
10,2.0,1,6,10,140,72.01,1
11,2.0,1,6,10,140,72.01,1
12,2.0,1,6,10,140,72.01,1
13,2.0,1,6,10,140,72.01,1
14,2.0,1,6,10,140,72.01,1
15,2.0,1,6,10,140,72.01,1
16,2.0,1,6,10,140,72.01,1
17,2.0,1,40,10,140,72.01,1
18,2.0,1,40,10,140,72.01,1
19,2.0,1,40,10,140,72.01,1
20,2.0,1,40,10,140,72.01,1
21,2.0,1,40,10,140,72.01,1
22,2.0,1,40,10,140,72.01,1
23,2.0,1,40,10,140,72.01,1
24,2.0,1,40,10,140,72.01,1
25,2.0,1,40,10,140,72.01,1
26,2.0,1,40,10,140,72.01,1
27,2.0,1,40,10,140,72.01,1
28,2.0,1,40,10,140,72.01,1
29,2.0,1,40,10,140,72.01,1
30,2.0,1,40,10,140,72.01,1
31,2.0,1,40,10,140,72.01,1
32,2.0,1,40,10,140,72.01,1
33,2.0,1,40,10,140,72.01,1
34,2.0,1,40,10,140,72.01,1
35,2.0,1,40,10,140,72.01,1
36,2.0,1,40,10,140,72.01,1
37,2.0,1,40,10,140,72.01,1
38,2.0,1,40,10,140,72.01,1
39,2.0,1,40,10,140,72.01,1
40,2.0,1,40,10,140,72.01,1
41,2.0,1,40,10,140,72.01,1
42,2.0,1,40,10,140,72.01,1
43,2.0,1,40,10,140,72.01,1
44,2.0,1,40,10,140,72.01,1
45,2.0,1,40,10,140,72.01,1
46,2.0,1,40,10,140,72.01,1
47,2.0,1,40,10,140,72.01,1
48,2.0,1,40,10,140,72.01,1
