,Precursor Conc. (wt. %),Crosslinker Conc. (mM),Detach. Pressure (PSI),Nozzle Diam. (mm),Dist. P to N (mm),Angle P to N (deg),Flow Rate (uL/min),Nozzle Coating,Surface Tension (mN/m),Microgel Diam. (um)
0,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,903.5161168
1,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,915.4350493
2,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,851.822824
3,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,796.1016737
4,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,864.0177829
5,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,916.5899998
6,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,928.5250029
7,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,939.0154994
8,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,963.2732055
9,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,976.0480456
10,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,915.2162612
11,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,918.6669188
12,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,872.0348256
13,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,883.6984432
14,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,886.5803379
15,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,811.5911322
16,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,920.6106084
17,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,822.395591
18,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,927.9781601
19,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,938.707456
20,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,890.5322283
21,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,897.7801947
22,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,949.737122
23,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,994.3270691
24,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,916.9679879
25,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,679.3050333
26,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,637.4622719
27,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,659.3134924
28,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,625.3065946
29,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,624.9044998
30,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,647.1519205
31,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,628.3192484
32,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,652.3872816
33,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,662.3789153
34,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,649.249162
35,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,674.8314264
36,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,627.5089414
37,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,604.5986018
38,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,643.0575956
39,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,657.171698
40,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,619.9974732
41,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,625.7281818
42,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,667.3513732
43,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,674.4632985
44,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,632.1803085
45,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,683.9238042
46,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,647.1741286
47,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,640.996567
48,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,662.757785
49,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,641.9752573
50,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,805.7116261
51,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,781.7495316
52,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,792.53078
53,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,765.0217717
54,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,743.0641895
55,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,682.3717742
56,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,827.8078667
57,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,783.6978076
58,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,783.894151
59,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,773.3639226
60,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,786.2620274
61,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,785.0341994
62,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,778.9633179
63,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,778.582214
64,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,833.4330246
65,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,817.0631406
66,2.0,10.0,6.0,0.15,30.0,0,200,0,72.01,783.6197184
