,Precursor Conc. (wt. %),Rel. Precursor Viscosity,Detach. Pressure (PSI),Crosslinker Conc. (mM),Dist. from Bath (cm),Surface Tension (mN/m),Shape Outcome
0,2.0,1,6,10,140,72.01,3
1,2.0,1,6,10,140,72.01,3
2,2.0,1,6,10,140,72.01,3
3,2.0,1,6,10,140,72.01,3
4,2.0,1,6,10,140,72.01,3
5,2.0,1,6,10,140,72.01,3
6,2.0,1,6,10,140,72.01,3
7,2.0,1,6,10,140,72.01,3
8,2.0,1,6,10,140,72.01,3
9,2.0,1,6,10,140,72.01,3
10,2.0,1,6,10,140,72.01,3
11,2.0,1,6,10,140,72.01,3
12,2.0,1,6,10,140,72.01,3
13,2.0,1,6,10,140,72.01,3
14,2.0,1,6,10,140,72.01,3
15,2.0,1,6,10,140,72.01,3
16,2.0,1,6,10,140,72.01,2
17,2.0,1,40,10,140,72.01,3
18,2.0,1,40,10,140,72.01,3
19,2.0,1,40,10,140,72.01,3
20,2.0,1,40,10,140,72.01,3
21,2.0,1,40,10,140,72.01,3
22,2.0,1,40,10,140,72.01,3
23,2.0,1,40,10,140,72.01,3
24,2.0,1,40,10,140,72.01,3
25,2.0,1,40,10,140,72.01,2
26,2.0,1,40,10,140,72.01,2
27,2.0,1,40,10,140,72.01,2
28,2.0,1,40,10,140,72.01,2
29,2.0,1,40,10,140,72.01,2
30,2.0,1,40,10,140,72.01,2
31,2.0,1,40,10,140,72.01,2
32,2.0,1,40,10,140,72.01,2
33,2.0,1,40,10,140,72.01,2
34,2.0,1,40,10,140,72.01,2
35,2.0,1,40,10,140,72.01,2
36,2.0,1,40,10,140,72.01,2
37,2.0,1,40,10,140,72.01,2
38,2.0,1,40,10,140,72.01,2
39,2.0,1,40,10,140,72.01,1
40,2.0,1,40,10,140,72.01,1
41,2.0,1,40,10,140,72.01,1
42,2.0,1,40,10,140,72.01,1
43,2.0,1,40,10,140,72.01,1
44,2.0,1,40,10,140,72.01,1
45,2.0,1,40,10,140,72.01,1
46,2.0,1,40,10,140,72.01,1
47,2.0,1,40,10,140,72.01,1
48,2.0,1,40,10,140,72.01,1
49,2.0,1,40,10,140,72.01,1
50,2.0,1,40,10,140,72.01,1
51,2.0,1,40,10,140,72.01,1
52,2.0,1,40,10,140,72.01,1
53,2.0,1,40,10,140,72.01,1
54,2.0,1,40,10,140,72.01,1
55,2.0,1,40,10,140,72.01,1
56,2.0,1,40,10,140,72.01,1
57,2.0,1,40,10,140,72.01,1
58,2.0,1,40,10,140,72.01,1
59,2.0,1,40,10,140,72.01,1
60,2.0,1,40,10,140,72.01,1
61,2.0,1,40,10,140,72.01,1
62,2.0,1,40,10,140,72.01,1
63,2.0,1,40,10,140,72.01,1
64,2.0,1,40,10,140,72.01,1
65,2.0,1,40,10,140,72.01,1
66,2.0,1,40,10,140,72.01,1
67,2.0,1,40,10,140,72.01,1
68,2.0,1,40,10,140,72.01,1
69,2.0,1,40,10,140,72.01,1
70,2.0,1,40,10,140,72.01,1
71,2.0,1,40,10,140,72.01,1
72,2.0,1,40,10,140,72.01,1
73,2.0,1,40,10,140,72.01,1
74,2.0,1,40,10,140,72.01,1
75,2.0,1,40,10,140,72.01,1
76,2.0,1,40,10,140,72.01,1
77,2.0,1,40,10,140,72.01,1
78,2.0,1,40,10,140,72.01,1
79,2.0,1,40,10,140,72.01,1
92,2.0,1,6,100,140,72.01,3
93,2.0,1,6,100,140,72.01,3
94,2.0,1,6,100,140,72.01,3
95,2.0,1,6,100,140,72.01,3
96,2.0,1,6,100,140,72.01,3
97,2.0,1,6,100,140,72.01,3
98,2.0,1,6,100,140,72.01,3
99,2.0,1,6,100,140,72.01,3
100,2.0,1,6,100,140,72.01,3
101,2.0,1,6,100,140,72.01,3
102,2.0,1,6,100,140,72.01,3
103,2.0,1,6,100,140,72.01,3
104,2.0,1,6,100,140,72.01,3
105,2.0,1,6,100,140,72.01,3
106,2.0,1,6,100,140,72.01,3
107,2.0,1,6,100,140,72.01,3
108,2.0,1,6,100,140,72.01,3
109,2.0,1,6,100,140,72.01,3
110,2.0,1,6,100,140,72.01,3
111,2.0,1,6,100,140,72.01,3
112,2.0,1,6,100,140,72.01,3
113,2.0,1,6,100,140,72.01,3
114,2.0,1,6,100,140,72.01,3
115,2.0,1,6,100,140,72.01,3
116,2.0,1,6,100,140,72.01,3
117,2.0,1,6,100,140,72.01,3
118,2.0,1,6,100,140,72.01,3
119,2.0,1,6,100,140,72.01,3
120,2.0,1,6,100,140,72.01,3
121,2.0,1,6,100,140,72.01,3
122,2.0,1,6,100,140,72.01,3
123,2.0,1,6,100,140,72.01,3
124,2.0,1,6,100,140,72.01,3
125,2.0,1,6,100,140,72.01,3
126,2.0,1,6,100,140,72.01,3
127,2.0,1,6,100,140,72.01,3
128,2.0,1,6,100,140,72.01,3
129,2.0,1,6,100,140,72.01,3
130,2.0,1,6,100,140,72.01,3
131,2.0,1,6,100,140,72.01,3
132,2.0,1,6,100,140,72.01,3
133,2.0,1,6,100,140,72.01,3
134,2.0,1,6,100,140,72.01,3
135,2.0,1,6,100,140,72.01,3
136,2.0,1,6,100,140,72.01,3
137,2.0,1,6,100,140,72.01,3
138,2.0,1,6,100,140,72.01,3
139,2.0,1,6,100,140,72.01,3
140,2.0,1,6,100,140,72.01,3
141,2.0,1,6,100,140,72.01,3
142,2.0,1,40,100,140,72.01,3
143,2.0,1,40,100,140,72.01,3
144,2.0,1,40,100,140,72.01,3
145,2.0,1,40,100,140,72.01,3
146,2.0,1,40,100,140,72.01,3
147,2.0,1,40,100,140,72.01,3
148,2.0,1,40,100,140,72.01,3
149,2.0,1,40,100,140,72.01,3
150,2.0,1,40,100,140,72.01,3
151,2.0,1,40,100,140,72.01,3
152,2.0,1,40,100,140,72.01,3
153,2.0,1,40,100,140,72.01,3
154,2.0,1,40,100,140,72.01,3
155,2.0,1,40,100,140,72.01,3
156,2.0,1,40,100,140,72.01,3
157,2.0,1,40,100,140,72.01,3
158,2.0,1,40,100,140,72.01,3
159,2.0,1,40,100,140,72.01,3
160,2.0,1,40,100,140,72.01,3
161,2.0,1,40,100,140,72.01,3
162,2.0,1,40,100,140,72.01,3
163,2.0,1,40,100,140,72.01,3
164,2.0,1,40,100,140,72.01,3
165,2.0,1,40,100,140,72.01,3
166,2.0,1,40,100,140,72.01,3
167,2.0,1,40,100,140,72.01,3
168,2.0,1,40,100,140,72.01,3
169,2.0,1,40,100,140,72.01,3
170,2.0,1,40,100,140,72.01,3
171,2.0,1,40,100,140,72.01,3
172,2.0,1,40,100,140,72.01,3
173,2.0,1,40,100,140,72.01,3
174,2.0,1,40,100,140,72.01,3
175,2.0,1,40,100,140,72.01,3
