,Microgel Conc. (wt.%),Fluid Ca2+ (mM),Fluid Na+ (mM),Settled Solid Vol. (mL),Settled Total Vol. (mL),Jam Pressure (PSI),Membrane Pore Size (um),Jam Duration (min),Est. Vol. Fraction
0,0.5,0.9,153,32.5,37.5,0.0,70,0,0.52
1,0.5,0.9,153,32.5,37.5,0.0,70,5,0.672413793
2,0.5,0.9,153,32.5,37.5,0.5,70,10,0.75
3,0.5,0.9,153,32.5,37.5,0.5,70,15,0.829787234
4,0.5,0.9,153,32.5,37.5,0.5,70,20,0.847826087
5,0.5,0.9,153,32.5,37.5,0.5,70,25,0.866666667
6,0.5,0.9,153,32.5,37.5,0.5,70,30,0.886363636
7,0.5,0.9,153,32.5,37.5,0.5,70,35,0.906976744
8,0.5,0.9,153,32.5,40.0,0.0,70,0,0.4875
9,0.5,0.9,153,32.5,40.0,0.0,70,5,0.735849057
10,0.5,0.9,153,32.5,40.0,0.5,70,10,0.8125
11,0.5,0.9,153,32.5,40.0,0.5,70,15,0.886363636
12,0.5,0.9,153,32.5,40.0,0.5,70,20,0.928571429
13,0.5,0.9,153,32.5,40.0,0.5,70,25,0.943396226
14,0.5,0.9,153,32.5,40.0,0.5,70,30,0.958702065
15,0.5,0.9,153,32.5,40.0,0.5,70,35,0.974512744
16,0.5,0.9,153,32.5,40.0,0.0,70,0,0.4875
17,0.5,0.9,153,32.5,40.0,0.0,70,5,0.722222222
18,0.5,0.9,153,32.5,40.0,0.5,70,10,0.795918367
19,0.5,0.9,153,32.5,40.0,0.5,70,15,0.847826087
20,0.5,0.9,153,32.5,40.0,0.5,70,20,0.906976744
21,0.5,0.9,153,32.5,40.0,0.5,70,25,0.924170616
22,0.5,0.9,153,32.5,40.0,0.5,70,30,0.942028986
23,0.5,0.9,153,32.5,40.0,0.5,70,35,0.960591133
24,0.5,0.9,153,32.5,40.0,0.5,70,95,1.06557377
25,0.5,0.9,153,32.5,40.0,0.0,70,0,0.4875
26,0.5,0.9,153,32.5,40.0,0.0,70,5,0.661016949
27,0.5,0.9,153,32.5,40.0,0.5,70,10,0.735849057
28,0.5,0.9,153,32.5,40.0,0.5,70,15,0.772277228
29,0.5,0.9,153,32.5,40.0,0.5,70,20,0.8125
30,0.5,0.9,153,32.5,40.0,0.5,70,25,0.82683175
31,0.5,0.9,153,32.5,40.0,0.5,70,30,0.841678177
32,0.5,0.9,153,32.5,40.0,0.5,70,35,0.857067511
33,0.5,0.9,153,32.5,40.0,0.0,70,0,0.4875
34,0.5,0.9,153,32.5,40.0,0.0,70,5,0.661016949
35,0.5,0.9,153,32.5,40.0,0.5,70,10,0.728971963
36,0.5,0.9,153,32.5,40.0,0.5,70,15,0.772277228
37,0.5,0.9,153,32.5,40.0,0.5,70,20,0.8125
38,0.5,0.9,153,32.5,40.0,0.5,70,25,0.82683175
39,0.5,0.9,153,32.5,40.0,0.5,70,30,0.841678177
40,0.5,0.9,153,32.5,40.0,0.5,70,35,0.857067511
41,0.5,0.9,153,14.0,25.0,0.0,40,0,0.336
42,0.5,0.9,153,14.0,25.0,0.0,40,5,0.56
43,0.5,0.9,153,14.0,25.0,0.5,40,15,0.8
44,0.5,0.9,153,14.0,25.0,0.5,40,30,0.908108108
45,0.5,0.9,153,14.0,25.0,0.0,40,0,0.336
46,0.5,0.9,153,14.0,25.0,0.0,40,5,0.48
47,0.5,0.9,153,14.0,25.0,0.5,40,15,0.75
48,0.5,0.9,153,14.0,25.0,0.5,40,30,0.884210526
49,0.5,0.9,153,14.0,25.0,0.0,40,0,0.336
50,0.5,0.9,153,14.0,25.0,0.0,40,5,0.494117647
