,,Microgel Conc. (%),Microgel Size (um),Fluid Phase Ca2+ (mM),Fluid Phase Na+ (mM),Est. Volume Fraction,Shear rate (1/s),Resuspension_encoded,Log_viscosity
Flow,0,0.5,500,0.9,153,0.65,0.0125887,2,5.143819126328662
Flow,1,0.5,500,0.9,153,0.65,0.0158488,2,4.985638802005852
Flow,2,0.5,500,0.9,153,0.65,0.019953,2,4.809228772424833
Flow,3,0.5,500,0.9,153,0.65,0.0251192,2,4.615229421801988
Flow,4,0.5,500,0.9,153,0.65,0.031623,2,4.437442419907094
Flow,5,0.5,500,0.9,153,0.65,0.0398111,2,4.264267348735471
Flow,6,0.5,500,0.9,153,0.65,0.0501192,2,4.089698787302206
Flow,7,0.5,500,0.9,153,0.65,0.0630965,2,3.9407192998944454
Flow,8,0.5,500,0.9,153,0.65,0.0794333,2,3.7723769563371015
Flow,9,0.5,500,0.9,153,0.65,0.100001,2,3.6236046619953957
Flow,10,0.5,500,0.9,153,0.65,0.125894,2,3.4533279920694535
Flow,11,0.5,500,0.9,153,0.65,0.158491,2,3.3007470136968844
Flow,12,0.5,500,0.9,153,0.65,0.199527,2,3.154776673860103
Flow,13,0.5,500,0.9,153,0.65,0.25119,2,3.0049149831286437
Flow,14,0.5,500,0.9,153,0.65,0.316229,2,2.8425228173034838
Flow,15,0.5,500,0.9,153,0.65,0.398111,2,2.692022440025013
Flow,16,0.5,500,0.9,153,0.65,0.501188,2,2.531694811286759
Flow,17,0.5,500,0.9,153,0.65,0.630961,2,2.3685881661515595
Flow,18,0.5,500,0.9,153,0.65,0.794329,2,2.2016082881536496
Flow,19,0.5,500,0.9,153,0.65,1.0,2,2.02586010517481
Flow,20,0.5,500,0.9,153,0.65,1.25893,2,1.8457582671048722
Flow,21,0.5,500,0.9,153,0.65,1.5849,2,1.6650012770813873
Flow,22,0.5,500,0.9,153,0.65,1.99527,2,1.4809566037855495
Flow,23,0.5,500,0.9,153,0.65,2.5119,2,1.2954693578564807
Flow,24,0.5,500,0.9,153,0.65,3.16228,2,1.1053230543595518
Flow,25,0.5,500,0.9,153,0.65,3.9811,2,0.9154944148979351
