,Microgel Conc. (%),Microgel Size (um),Fluid Phase Ca2+ (mM),Fluid Phase Na+ (mM),Est. Volume Fraction,Resuspension_encoded,YStrain_breakdown_33
0,0.5,900,0.0,0,0.65,2,2.09923
1,0.5,900,0.0,0,0.65,2,1.0437
2,0.5,900,0.0,0,0.75,2,2.86802
3,0.5,900,0.0,0,0.75,2,1.41017
4,0.5,900,0.0,0,0.85,2,2.43653
5,0.5,900,0.0,0,0.85,2,3.03599
6,0.5,500,0.9,153,0.65,2,12.4128
7,0.5,500,0.9,153,0.65,2,8.14115
8,0.5,500,0.9,153,0.7,2,19.7422
9,0.5,500,0.9,153,0.7,2,23.1911
10,0.5,500,0.9,153,0.8,2,43.128
11,0.5,500,0.9,153,0.8,2,38.5129
12,0.5,500,0.9,153,0.9,2,72.3413
13,0.5,500,0.9,153,0.9,2,72.8247
14,2.0,550,2.0,0,0.65,1,4.20624
15,2.0,550,2.0,0,0.65,1,4.27721
16,2.0,550,2.0,0,0.75,1,10.4971
17,2.0,550,2.0,0,0.75,1,9.30473
18,2.0,550,2.0,0,0.75,1,10.3565
19,2.0,550,2.0,0,0.65,1,10.7758
20,2.0,550,2.0,0,0.65,1,10.5012
21,2.0,250,2.0,0,0.65,1,5.32248
22,2.0,250,2.0,0,0.65,1,16.3121
23,2.0,250,2.0,0,0.65,1,14.0372
24,2.0,250,2.0,0,0.65,1,14.1077
25,0.5,550,2.0,0,0.65,1,20.3385
26,0.5,550,2.0,0,0.65,1,16.2637
27,0.5,550,0.9,153,0.65,1,10.0928
28,0.5,550,0.9,153,0.65,1,10.159
29,0.5,550,0.9,153,0.7,1,14.5955
30,0.5,550,0.9,153,0.7,1,15.7564
31,0.5,550,0.9,153,0.8,1,33.0355
32,0.5,550,0.9,153,0.8,1,28.8981
33,0.5,550,0.9,153,0.9,1,41.4083
34,0.5,550,0.9,153,0.9,1,41.3577
35,0.5,550,0.9,153,0.65,2,5.05365
36,0.5,550,0.9,153,0.65,2,6.62784
37,0.5,550,0.9,153,0.7,2,16.1834
38,0.5,550,0.9,153,0.7,2,16.9468
39,0.5,550,0.9,153,0.8,2,21.3332
40,0.5,550,0.9,153,0.8,2,23.274
41,0.5,550,0.9,153,0.85,2,37.8821
42,0.5,550,0.9,153,0.85,2,40.4041
43,2.0,900,0.9,153,0.87,1,17.0984
44,2.0,900,0.9,153,0.87,1,17.1955
45,2.0,900,0.9,153,0.8,1,12.8814
46,2.0,900,0.9,153,0.8,1,12.692
47,2.0,900,0.9,153,0.7,1,6.87992
48,2.0,900,0.9,153,0.7,1,6.76025
49,2.0,900,0.9,153,0.65,1,2.93842
50,2.0,900,0.9,153,0.65,1,2.98499
51,2.0,500,0.9,153,0.87,1,11.5258
52,2.0,500,0.9,153,0.87,1,11.6355
53,2.0,500,0.9,153,0.8,1,8.95343
54,2.0,500,0.9,153,0.8,1,12.2834
55,2.0,500,0.9,153,0.7,1,6.40522
56,2.0,500,0.9,153,0.7,1,6.00223
57,2.0,500,0.9,153,0.65,1,3.941
58,2.0,500,0.9,153,0.65,1,3.77509
59,2.0,550,0.9,153,0.87,2,25.4278
60,2.0,550,0.9,153,0.87,2,39.4033
61,2.0,250,0.9,153,0.87,2,16.8839
62,2.0,250,0.9,153,0.87,2,15.8428
63,0.5,500,0.9,153,0.7,2,17.6561
64,0.5,500,0.9,153,0.7,2,17.8202
65,0.5,500,0.9,153,0.8,2,23.3943
66,0.5,500,0.9,153,0.8,2,22.8421
67,0.5,500,0.9,153,0.85,2,34.1769
68,0.5,500,0.9,153,0.85,2,40.1418
69,0.25,500,0.9,153,0.9,1,11.6053
70,0.5,600,0.9,153,0.9,1,7.54577
71,1.0,650,0.9,153,0.9,1,26.3937
72,2.0,690,0.9,153,0.9,1,20.6859
73,0.5,250,2.0,0,0.65,1,3.47754
74,2.0,800,0.9,153,0.65,2,3.73758
75,2.0,800,0.9,153,0.75,2,6.61398
76,2.0,800,0.9,153,0.85,2,15.3143
77,2.0,800,0.9,153,0.95,2,14.8695
78,2.0,690,0.9,153,0.9,2,10.382
79,1.0,650,0.9,153,0.9,2,20.2499
80,0.5,600,0.9,153,0.9,2,53.0121
81,0.5,900,0.0,0,0.65,2,0.811549
82,0.5,900,0.0,0,0.75,2,1.62739
83,0.5,900,0.0,0,0.85,2,2.58873
84,0.25,500,0.9,153,0.9,1,15.855
85,0.5,600,0.9,153,0.9,1,12.6908
86,1.0,650,0.9,153,0.9,1,21.02
87,2.0,690,0.9,153,0.9,1,27.4239
88,2.0,690,0.9,153,0.9,1,26.4959
89,0.5,250,2.0,0,0.65,1,4.17896
90,2.0,800,0.9,153,0.65,2,4.01411
91,2.0,800,0.9,153,0.75,2,6.37934
92,2.0,800,0.9,153,0.85,2,10.133
93,2.0,800,0.9,153,0.95,2,16.0822
94,0.25,500,0.9,153,0.9,1,25.1322
95,0.5,600,0.9,153,0.9,1,12.6661
96,1.0,650,0.9,153,0.9,1,16.5123
97,2.0,690,0.9,153,0.9,1,16.4922
98,2.0,690,0.9,153,0.9,2,10.3554
99,1.0,650,0.9,153,0.9,2,20.1861
100,0.5,600,0.9,153,0.9,2,39.9035
